,,,Και των δύο φύλων ,,,,,,,,,,,,,,,,,Άρρενες,,,,,,,,,,,,,,,,,Θήλεις,,,,,,,,,,,,,,,,
level,location_id,name,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
8,2423701051202,"Κάτω Ροδινή,η",111,0,5,9,5,4,0,3,5,9,6,11,6,15,6,8,12,62,0,3,0,4,4,0,0,4,4,3,4,9,12,3,3,6,51,0,3,5,3,4,0,5,3,8,0,8,0,6,5,0,4
5,2423702,ΔΗΜΟΣ ΑΙΓΙΑΛΕΙΑΣ,46989,1717,1898,2244,2242,1944,1931,2069,2668,3292,3490,3649,3421,3648,3250,2947,6586,23056,888,986,1163,1148,1004,1015,1066,1297,1639,1801,1860,1623,1725,1625,1418,2801,23930,832,910,1083,1097,938,914,1006,1372,1650,1687,1786,1796,1919,1623,1525,3788
6,242370201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΙΓΙΟΥ,25796,1018,1075,1301,1238,1082,1099,1220,1544,1887,1916,2026,1851,1975,1723,1532,3314,12520,531,556,672,627,544,564,633,742,932,996,1032,839,916,849,721,1365,13274,483,522,627,614,541,534,582,805,957,917,993,1014,1057,872,808,1946
7,24237020101,Δημοτική Κοινότητα Αιγίου,20246,807,812,1003,973,891,874,950,1225,1497,1519,1614,1465,1525,1341,1187,2574,9706,425,409,513,489,434,453,490,584,729,779,800,650,692,659,550,1046,10544,379,399,487,486,454,423,458,643,765,736,816,818,830,679,639,1526
8,2423702010101,"Αίγιον,το",19854,789,795,987,960,866,846,937,1202,1466,1498,1579,1436,1480,1309,1174,2545,9510,416,407,506,481,425,441,482,574,710,768,785,635,670,644,542,1035,10347,371,390,483,481,438,408,458,626,752,726,791,804,812,667,634,1506
8,2423702010102,"Άγιος Νικόλαος,ο",53,3,3,0,3,3,3,5,3,7,0,4,5,5,3,3,0,27,3,0,0,0,0,0,5,3,3,0,3,3,3,3,3,3,23,0,0,0,3,3,0,3,3,3,5,0,0,0,4,4,0
8,2423702010103,"Σωτήρ,ο",250,15,16,12,10,17,20,3,20,21,14,18,18,27,20,12,18,120,6,3,8,5,7,11,0,8,11,9,7,6,15,11,3,8,129,6,10,6,3,13,11,0,15,8,3,9,9,15,11,6,13
8,2423702010104,"Φωνησκαριά,η",91,0,3,5,8,8,3,3,0,6,3,14,8,11,0,5,8,46,0,3,4,3,3,4,6,0,3,4,8,4,3,3,5,3,43,0,0,3,3,3,0,0,0,7,0,9,0,5,0,0,4
7,24237020102,Δημοτική Κοινότητα Βαλιμιτίκων,456,23,21,26,25,13,15,23,28,45,27,28,31,28,47,27,62,218,9,13,17,8,7,5,10,10,23,13,16,15,16,22,18,19,241,11,10,6,14,10,7,15,17,20,10,11,18,8,23,12,40
8,2423702010201,"Βαλιμίτικα,τα",456,23,21,26,25,13,15,23,28,45,27,28,31,28,47,27,62,218,9,13,17,8,7,5,10,10,23,13,16,15,16,22,18,19,241,11,10,6,14,10,7,15,17,20,10,11,18,8,23,12,40
7,24237020103,Δημοτική Κοινότητα Δαφνών,211,7,5,4,8,8,6,12,6,14,18,13,19,20,13,15,41,112,5,3,3,4,3,0,5,3,12,11,13,6,12,8,9,15,97,4,0,0,0,3,4,10,0,5,5,4,10,6,8,4,28
8,2423702010301,"Δάφναι,αι",208,7,5,4,8,8,6,12,6,12,18,13,19,20,13,15,41,108,5,3,3,4,3,0,5,3,9,11,13,6,12,8,9,15,97,4,0,0,0,3,4,10,0,5,5,4,10,6,8,4,28
8,2423702010302,"Άγιος Ηλίας,ο",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237020104,Δημοτική Κοινότητα Διγελιωτίκων,391,26,8,18,14,6,17,19,37,24,26,18,20,39,32,37,57,200,15,10,10,8,0,6,10,20,10,13,5,10,17,14,18,32,189,9,0,11,3,3,8,11,15,11,17,10,8,19,17,22,28
8,2423702010401,"Διγελιώτικα,τα",391,26,8,18,14,6,17,19,37,24,26,18,20,39,32,37,57,200,15,10,10,8,0,6,10,20,10,13,5,10,17,14,18,32,189,9,0,11,3,3,8,11,15,11,17,10,8,19,17,22,28
7,24237020105,Δημοτική Κοινότητα Κουλούρας,923,26,53,60,52,40,35,48,54,61,70,84,59,78,48,48,115,473,18,26,36,28,22,15,28,25,31,36,35,30,33,24,26,48,452,10,25,22,27,20,17,16,27,28,37,46,27,42,22,20,70
8,2423702010501,"Κουλούρα,η",923,26,53,60,52,40,35,48,54,61,70,84,59,78,48,48,115,473,18,26,36,28,22,15,28,25,31,36,35,30,33,24,26,48,452,10,25,22,27,20,17,16,27,28,37,46,27,42,22,20,70
7,24237020106,Δημοτική Κοινότητα Κούμαρη,203,12,18,10,7,5,8,13,9,16,17,17,14,11,11,13,19,107,6,5,7,3,5,7,4,8,6,8,8,10,7,4,6,12,99,3,10,5,3,3,4,12,3,13,7,6,7,0,5,5,10
8,2423702010601,"Κούμαρης,ο",203,12,18,10,7,5,8,13,9,16,17,17,14,11,11,13,19,107,6,5,7,3,5,7,4,8,6,8,8,10,7,4,6,12,99,3,10,5,3,3,4,12,3,13,7,6,7,0,5,5,10
7,24237020107,Δημοτική Κοινότητα Κουνινάς,320,4,4,12,13,10,16,16,24,21,22,22,29,34,30,24,46,177,4,0,3,5,0,9,8,14,11,10,14,18,15,16,12,21,145,3,3,7,5,6,3,5,6,7,8,6,13,16,11,9,28
8,2423702010701,"Κουνινά,η",266,3,3,10,9,5,14,13,19,17,19,18,26,24,28,22,41,142,3,0,3,5,0,9,5,15,9,8,12,14,15,17,10,17,126,3,3,6,0,0,7,5,6,6,8,8,14,12,8,9,27
8,2423702010702,"Αγία Άννα,η",20,0,0,4,0,0,0,3,3,0,3,0,0,3,0,0,0,12,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
8,2423702010703,"Μονή Πεπελενίτσης,η",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423702010704,"Πελεκίστρα,η",6,0,0,0,0,0,4,0,0,4,4,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
8,2423702010705,"Πετροβούνι,το",31,0,0,0,3,3,0,0,0,3,0,3,5,7,0,0,5,17,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,4,17,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,3
7,24237020108,Δημοτική Κοινότητα Μαυρικίου,357,3,7,20,16,8,10,12,15,30,31,24,23,38,36,23,58,186,3,3,10,8,4,5,3,10,18,19,13,15,18,17,13,28,173,3,3,7,11,3,9,7,8,15,16,14,10,18,21,9,28
8,2423702010801,"Κάτω Μαυρίκιον,το",349,3,7,20,16,8,10,12,15,27,34,24,23,35,32,23,54,181,3,3,10,8,4,5,3,10,18,22,13,15,15,13,12,28,170,3,3,7,11,3,9,7,8,11,16,8,10,18,21,9,29
8,2423702010802,"Άγιος Ιωάννης,ο",4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423702010803,"Άνω Μαυρίκιον,το",11,5,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
7,24237020109,Δημοτική Κοινότητα Μελισσίων,275,8,19,7,6,8,13,8,21,15,17,18,18,19,14,25,54,128,6,6,0,0,9,10,5,11,6,9,9,8,7,4,9,28,145,5,10,6,3,3,6,5,12,13,6,7,12,8,12,14,28
8,2423702010901,"Μελίσσια,τα",257,8,19,7,6,8,11,5,17,17,17,18,18,19,11,21,53,121,6,6,0,0,4,10,5,7,6,7,9,8,7,3,10,26,134,5,10,6,3,3,4,3,12,8,7,7,12,8,13,14,24
8,2423702010902,"Λάκκα,η",5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,2423702010903,"Μονή Παμμεγίστων Ταξιαρχών,η",4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,2423702010904,"Πυργάκιον,το",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
7,24237020110,Δημοτική Κοινότητα Παρασκευής,181,3,8,6,12,10,11,11,9,12,11,21,13,12,12,12,21,96,3,4,5,8,5,5,6,8,3,7,13,8,5,8,8,9,83,3,6,3,3,3,4,3,4,6,6,11,3,9,0,0,14
8,2423702011001,"Παρασκευή,η",181,3,8,6,12,10,11,11,9,12,11,21,13,12,12,12,21,96,3,4,5,8,5,5,6,8,3,7,13,8,5,8,8,9,83,3,6,3,3,3,4,3,4,6,6,11,3,9,0,0,14
7,24237020111,Δημοτική Κοινότητα Πτέρης,439,17,22,18,15,19,19,30,18,23,32,31,44,34,27,19,67,224,6,13,9,10,13,6,21,8,10,16,20,23,22,12,5,28,213,8,11,11,8,9,11,11,8,16,18,9,18,9,13,17,36
8,2423702011101,"Πτέρη,η",21,0,0,0,0,0,3,3,0,0,6,0,7,0,0,0,0,12,0,0,0,0,0,0,3,4,0,3,0,4,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
8,2423702011102,"Άγιος Ανδρέας,ο",72,0,5,4,3,5,0,3,3,3,5,4,5,8,4,4,11,34,0,3,0,4,5,0,3,0,3,0,0,3,9,0,4,6,35,0,0,4,0,0,0,0,4,0,5,0,0,3,0,3,9
8,2423702011103,"Άγιος Παντελεήμων,ο",10,3,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423702011104,"Αχλαδέα,η",148,6,7,10,7,9,10,14,7,7,11,11,13,8,12,7,17,72,0,3,0,3,0,3,5,4,3,4,11,9,4,4,0,9,74,7,3,5,0,6,5,6,0,3,5,4,3,3,5,7,5
8,2423702011105,"Κάτω Πτέρη,η",134,0,5,4,6,3,7,3,0,8,7,15,20,11,6,5,27,65,0,4,5,3,4,0,4,3,3,4,7,9,9,4,0,10,67,0,3,0,5,0,7,0,0,8,5,5,9,5,4,3,20
8,2423702011106,"Μπουφούσκια,η",57,3,3,3,0,3,0,6,3,0,7,4,3,3,9,7,8,38,0,3,3,0,0,0,5,3,0,4,0,0,3,0,0,5,23,3,0,0,0,4,0,4,0,0,0,0,4,0,4,3,6
7,24237020112,Δημοτική Κοινότητα Σελινούντος,535,31,33,33,38,25,27,24,36,38,36,39,35,41,25,22,62,258,11,16,15,19,9,11,12,12,24,18,23,14,22,13,17,20,274,18,20,15,16,13,17,9,21,12,20,14,24,21,14,7,44
8,2423702011201,"Σελινούς,ο",535,31,33,33,38,25,27,24,36,38,36,39,35,41,25,22,62,258,11,16,15,19,9,11,12,12,24,18,23,14,22,13,17,20,274,18,20,15,16,13,17,9,21,12,20,14,24,21,14,7,44
7,24237020113,Δημοτική Κοινότητα Τέμενης,1211,42,59,82,67,45,47,54,55,99,89,97,75,92,99,78,136,609,24,43,37,37,23,25,31,20,45,49,55,32,41,51,31,63,604,22,20,42,26,20,20,19,32,57,38,41,41,54,47,45,75
8,2423702011301,"Τέμενη,η",1211,42,59,82,67,45,47,54,55,99,89,97,75,92,99,78,136,609,24,43,37,37,23,25,31,20,45,49,55,32,41,51,31,63,604,22,20,42,26,20,20,19,32,57,38,41,41,54,47,45,75
7,24237020114,Δημοτική Κοινότητα Χατζή,40,0,3,10,3,0,0,4,0,0,3,5,4,5,3,0,0,23,0,0,5,0,0,0,0,4,0,3,3,4,3,0,0,0,19,0,3,0,0,0,0,3,0,0,3,0,0,4,3,0,0
8,2423702011401,"Χατζής,ο",40,0,3,10,3,0,0,4,0,0,3,5,4,5,3,0,0,23,0,0,5,0,0,0,0,4,0,3,3,4,3,0,0,0,19,0,3,0,0,0,0,3,0,0,3,0,0,4,3,0,0
6,242370202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΙΓΕΙΡΑΣ,2291,68,74,93,95,99,97,87,103,143,159,189,186,187,188,168,361,1146,31,34,49,47,54,52,48,56,71,80,95,98,86,101,93,155,1149,35,37,42,50,43,47,43,50,74,83,91,90,100,84,73,204
7,24237020201,Δημοτική Κοινότητα Αιγείρας,1309,43,49,52,63,63,59,50,61,85,96,107,98,106,88,100,179,616,24,24,25,22,33,25,23,31,39,45,50,49,48,50,53,72,691,22,27,24,39,28,37,24,33,45,54,55,52,60,40,44,110
8,2423702020101,"Αιγείρα,η",1309,43,49,52,63,63,59,50,61,85,96,107,98,106,88,100,179,616,24,24,25,22,33,25,23,31,39,45,50,49,48,50,53,72,691,22,27,24,39,28,37,24,33,45,54,55,52,60,40,44,110
7,24237020202,Δημοτική Κοινότητα Αιγών,261,7,8,13,3,4,15,13,7,17,18,21,20,18,28,20,51,139,4,3,6,0,3,10,8,3,8,8,9,7,8,13,10,29,124,0,3,5,7,0,0,8,3,7,7,10,9,12,17,7,26
8,2423702020201,"Αιγαί,αι",58,0,0,0,5,0,4,4,0,3,3,5,8,7,10,8,10,33,0,0,0,0,0,4,0,0,3,3,0,5,3,6,8,6,28,0,0,0,5,0,0,3,0,0,0,3,5,3,6,0,6
8,2423702020202,"Αλμυρός,ο",15,0,0,0,5,0,0,0,4,0,0,3,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,4,0,3,0,0,0
8,2423702020203,"Λαμπινός,ο",188,5,3,9,3,3,11,11,6,12,19,12,13,9,17,15,40,95,3,3,4,0,3,6,8,0,7,8,7,6,4,4,5,21,90,0,0,3,0,0,0,0,3,3,8,8,5,3,9,7,16
7,24237020203,Δημοτική Κοινότητα Αμπελοκήπων,206,0,3,11,10,10,7,3,8,12,8,18,24,21,17,14,37,113,0,0,11,4,5,3,3,3,9,6,12,15,10,9,6,19,97,0,0,3,3,7,3,0,7,7,0,10,12,13,6,6,21
8,2423702020301,"Αμπελόκηποι,οι",173,0,3,11,10,10,10,0,4,10,5,14,25,16,14,6,34,91,0,0,11,4,5,3,5,3,4,3,12,16,5,7,0,15,81,0,0,3,3,7,3,0,3,7,0,6,12,8,5,3,17
8,2423702020302,"Παλιοκάτωνα,τα",10,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,6,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423702020303,"Πιμπαίϊκα,τα",23,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
7,24237020204,Δημοτική Κοινότητα Βελάς,56,0,0,3,3,3,0,3,4,0,5,6,5,9,7,4,3,28,0,0,0,3,0,0,0,4,0,3,3,0,3,8,3,0,26,0,0,4,0,0,0,4,0,0,5,0,6,3,3,3,3
8,2423702020401,"Βελά,η",56,0,0,3,3,3,0,3,4,0,5,6,5,9,7,4,3,28,0,0,0,3,0,0,0,4,0,3,3,0,3,8,3,0,26,0,0,4,0,0,0,4,0,0,5,0,6,3,3,3,3
7,24237020205,Δημοτική Κοινότητα Εξοχής,52,0,3,0,4,4,3,0,3,4,5,5,6,3,3,4,6,28,0,0,0,3,3,0,0,3,3,6,4,3,0,3,3,0,26,0,0,3,4,0,0,0,3,3,3,4,3,3,0,0,3
8,2423702020501,"Εξοχή,η",52,0,3,0,4,4,3,0,3,4,5,5,6,3,3,4,6,28,0,0,0,3,3,0,0,3,3,6,4,3,0,3,3,0,26,0,0,3,4,0,0,0,3,3,3,4,3,3,0,0,3
7,24237020206,Δημοτική Κοινότητα Μοναστηρίου,76,3,4,3,5,3,3,4,7,7,3,6,4,8,12,3,16,45,0,0,0,3,3,3,0,0,5,3,6,4,0,6,3,8,34,3,0,3,0,0,0,3,3,3,4,0,3,3,4,0,10
8,2423702020601,"Μοναστήριον,το",76,3,4,3,5,3,3,4,7,7,3,6,4,8,12,3,16,45,0,0,0,3,3,3,0,0,5,3,6,4,0,6,3,8,34,3,0,3,0,0,0,3,3,3,4,0,3,3,4,0,10
7,24237020207,Δημοτική Κοινότητα Οάσεως,39,3,0,0,3,3,0,0,0,0,0,0,4,4,6,0,7,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,16,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5
8,2423702020701,"Όασις,η",39,3,0,0,3,3,0,0,0,0,0,0,4,4,6,0,7,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,16,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5
7,24237020208,Δημοτική Κοινότητα Περιθωρίου,31,0,0,0,0,5,0,0,3,4,0,0,3,6,3,3,10,14,0,0,0,0,5,0,0,3,0,0,0,0,3,0,4,3,14,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,4
8,2423702020801,"Περιθώριον,το",31,0,0,0,0,5,0,0,3,4,0,0,3,6,3,3,10,14,0,0,0,0,5,0,0,3,0,0,0,0,3,0,4,3,14,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,4
7,24237020209,Δημοτική Κοινότητα Σελιάνας,55,0,0,0,0,5,0,0,4,0,4,6,3,4,8,5,15,35,0,0,0,0,0,0,3,3,0,3,3,3,4,3,3,9,23,0,0,0,0,5,0,0,0,0,3,0,0,3,3,0,9
8,2423702020901,"Σελιάνα,η",55,0,0,0,0,5,0,0,4,0,4,6,3,4,8,5,15,35,0,0,0,0,0,0,3,3,0,3,3,3,4,3,3,9,23,0,0,0,0,5,0,0,0,0,3,0,0,3,3,0,9
7,24237020210,Δημοτική Κοινότητα Σινεβρού,30,3,0,0,0,5,0,0,0,3,3,3,3,3,0,5,4,15,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,4,13,3,0,0,0,3,0,0,0,3,4,0,0,3,0,0,3
8,2423702021001,"Σινεβρόν,το",30,3,0,0,0,5,0,0,0,3,3,3,3,3,0,5,4,15,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,4,13,3,0,0,0,3,0,0,0,3,4,0,0,3,0,0,3
7,24237020211,Δημοτική Κοινότητα Χρυσανθίου,177,3,7,8,4,8,7,8,9,14,9,13,14,14,17,15,30,94,3,3,8,3,5,4,4,4,5,5,11,6,11,6,4,14,86,0,0,3,0,5,0,5,3,6,7,5,4,5,9,8,19
8,2423702021101,"Χρυσάνθιον,το",169,3,7,8,4,8,5,9,9,14,9,14,14,14,17,15,28,91,3,3,8,3,5,3,6,4,5,5,11,6,11,6,4,12,81,0,0,3,0,5,0,5,3,6,7,5,4,5,9,8,19
8,2423702021102,"Κασάνεβα,η",4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
6,242370203,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΚΡΑΤΑΣ,4248,121,159,171,188,177,184,158,227,302,273,301,310,343,314,313,703,2148,70,85,96,108,102,106,81,116,154,132,167,149,158,154,158,312,2103,54,77,72,83,73,75,75,108,146,144,138,163,183,163,158,389
7,24237020301,Δημοτική Κοινότητα Ακράτας,1376,44,59,57,46,46,62,63,93,90,88,96,92,107,91,111,222,690,21,25,35,23,32,32,34,48,58,39,57,40,57,43,50,99,688,20,31,19,19,17,28,26,47,34,52,41,49,55,51,58,125
8,2423702030101,"Ακράτα,η",1332,43,59,54,44,48,58,59,93,88,85,91,88,110,93,107,212,667,20,25,36,23,28,32,29,48,56,35,56,40,54,38,44,93,662,20,31,19,23,17,28,28,48,31,52,37,50,52,51,60,116
8,2423702030102,"Πύργος,ο",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423702030103,"Φούρνοι,οι",47,3,0,0,0,0,3,0,3,4,0,3,3,3,0,3,13,20,3,0,0,0,0,0,3,0,0,0,4,0,0,0,4,4,24,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,7
7,24237020302,Δημοτική Κοινότητα Αγίας Βαρβάρας,129,3,7,6,5,8,6,3,5,10,10,8,8,5,14,11,17,67,0,8,5,3,3,8,0,3,5,5,3,0,3,6,6,8,65,3,0,3,5,0,0,5,0,3,3,3,5,4,10,7,11
8,2423702030201,"Αγία Βαρβάρα,η",113,3,7,6,5,8,8,5,4,9,9,8,5,6,12,14,17,56,0,8,5,3,3,3,0,0,4,4,3,0,3,5,3,8,55,3,0,3,5,0,3,5,0,3,3,3,3,0,4,7,11
8,2423702030202,"Βουνάκιον,το",19,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,9,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
7,24237020303,Δημοτική Κοινότητα Αμπέλου,215,7,4,0,10,13,6,7,5,13,10,16,15,29,26,14,39,108,3,4,0,5,7,3,4,4,3,4,9,5,11,12,8,20,109,0,3,3,3,4,6,0,4,8,5,10,8,16,12,3,17
8,2423702030301,"Άμπελος,η",215,7,4,0,10,13,6,7,5,13,10,16,15,29,26,14,39,108,3,4,0,5,7,3,4,4,3,4,9,5,11,12,8,20,109,0,3,3,3,4,6,0,4,8,5,10,8,16,12,3,17
7,24237020304,Δημοτική Κοινότητα Βαλιμής,37,0,0,0,0,0,0,3,3,3,4,0,3,4,3,3,5,21,0,0,0,0,0,0,5,3,3,4,4,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4
8,2423702030401,"Βαλιμή,η",37,0,0,0,0,0,0,3,3,3,4,0,3,4,3,3,5,21,0,0,0,0,0,0,5,3,3,4,4,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4
7,24237020305,Δημοτική Κοινότητα Βουτσίμου,42,0,0,3,4,0,5,0,0,4,0,5,3,0,4,4,10,24,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,14,0,0,3,4,0,0,0,0,0,0,4,0,0,0,3,3
8,2423702030501,"Βούτσιμος,ο",42,0,0,3,4,0,5,0,0,4,0,5,3,0,4,4,10,24,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,14,0,0,3,4,0,0,0,0,0,0,4,0,0,0,3,3
7,24237020306,Δημοτική Κοινότητα Ζαρούχλης,78,0,0,0,5,4,3,3,3,3,7,5,9,11,3,6,19,50,0,0,0,0,4,3,4,7,3,4,3,5,8,3,3,14,30,0,0,0,3,0,0,3,0,0,5,0,5,5,0,5,3
8,2423702030601,"Ζαρούχλα,η",78,0,0,0,5,4,3,3,3,3,7,5,9,11,3,6,19,50,0,0,0,0,4,3,4,7,3,4,3,5,8,3,3,14,30,0,0,0,3,0,0,3,0,0,5,0,5,5,0,5,3
7,24237020307,Δημοτική Κοινότητα Καλαμιά,247,3,3,11,10,17,6,6,8,20,6,16,22,20,20,25,52,133,4,5,7,3,12,8,4,3,6,5,12,15,10,13,16,24,111,0,0,0,4,3,0,4,4,11,3,3,10,13,10,11,30
8,2423702030701,"Κάτω Ποταμιά,η",7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423702030702,"Καλαμιάς,ο",198,3,3,11,10,14,5,5,5,16,7,16,18,12,13,18,41,107,0,5,7,3,8,9,3,0,7,0,12,10,5,9,9,20,89,0,0,0,4,3,0,0,3,10,3,3,6,9,6,7,24
8,2423702030703,"Ποταμίτικος Γιαλός,ο",42,0,0,0,0,0,0,0,3,3,0,0,4,9,7,5,8,22,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,8,22,0,0,0,0,0,0,0,3,0,0,0,3,4,7,3,4
7,24237020308,Δημοτική Κοινότητα Κραθίου,566,21,27,27,36,26,20,18,44,44,37,45,45,43,37,30,72,304,12,22,15,29,17,9,6,23,21,16,22,21,18,18,16,30,266,6,8,15,5,11,9,10,18,20,19,25,22,23,22,16,39
8,2423702030801,"Κράθιον,το",446,14,19,23,27,22,17,15,32,29,30,38,34,32,28,21,63,233,6,15,9,22,12,10,6,17,17,13,16,14,14,10,9,29,216,6,6,11,9,13,4,6,13,14,14,20,17,15,13,9,37
8,2423702030802,"Γκουμαίικα,τα",116,9,6,3,6,5,0,6,9,12,5,9,9,15,8,6,6,67,9,4,3,4,3,0,3,4,7,0,4,3,6,5,5,4,47,3,0,0,0,0,3,6,3,3,3,3,3,5,4,3,4
7,24237020309,Δημοτική Κοινότητα Μεσορρουγίου,30,0,0,0,0,0,0,0,0,0,4,3,0,4,3,3,8,13,0,0,0,0,0,3,0,0,0,3,3,0,3,0,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
8,2423702030901,"Μεσορρούγιον,το",18,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,5,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
8,2423702030902,"Άνω Μεσορρούγι,το",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,2423702030903,"Σόλος,ο",8,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,4,5,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
7,24237020310,Δημοτική Κοινότητα Παραλίας Πλατάνου,216,3,4,4,16,8,7,3,6,10,8,19,17,14,21,16,52,107,3,0,3,11,6,6,3,0,5,6,10,9,7,9,10,22,111,0,0,4,7,0,3,3,7,7,5,10,7,9,10,8,28
8,2423702031001,"Παραλία Πλατάνου,η",216,3,4,4,16,8,7,3,6,10,8,19,17,14,21,16,52,107,3,0,3,11,6,6,3,0,5,6,10,9,7,9,10,22,111,0,0,4,7,0,3,3,7,7,5,10,7,9,10,8,28
7,24237020311,Δημοτική Κοινότητα Περιστέρας,65,0,0,5,0,4,0,5,3,5,3,8,5,9,0,3,14,34,0,0,5,0,3,3,0,4,3,0,6,3,0,0,3,5,28,0,0,0,0,0,3,3,0,0,0,4,0,6,0,3,6
